id;question;correct_answer;incorrect_answer_1;incorrect_answer_2;incorrect_answer_3;difficulty;module_id;explanation;status
1;Wenn das Wetter gut ist, wird der Bauer bestimmt den Eber, das Ferkel und...;die Sau rauslassen;auf die Kacke hauen;die Nacht durchzechen;einen draufmachen;1;1;"In der Landwirtschaft bezieht sich ""die Sau"" auf das weibliche Schwein. Die Redewendung spielt darauf an, dass bei gutem Wetter die Tiere im Freien gehalten werden.";in_progress
3;Wo gibt es keine geregelten Öffnungszeiten?;Fensterläden;Baumärkte;Teppichgeschäfte;Möbelhäuser;1;1;"Fensterläden sind feste Teile am Fenster, die keine Öffnungszeiten haben. Die Frage spielt auf das Wortspiel an, da ""Fensterläden"" sowohl die Teile am Fenster als auch die tatsächlichen Geschäftszeiten (Öffnungszeiten) haben können.";in_progress
4;Wobei handelt es sich um ein Notsignal im internationalen Funkverkehr?;Mayday;Down Town;Jetset;Flower Power;1;1;"""Mayday"" ist das internationale Notsignal in der Luftfahrt und im Seeverkehr. Es wird verwendet, um eine lebensbedrohliche Situation oder einen Notfall zu signalisieren und um sofortige Hilfe zu bitten.";reported
31;Welches der sieben Weltwunder der Antike ist das einzige, von dem heute noch Überreste existieren?;Die Pyramiden von Gizeh;Der Koloss von Rhodos;Der Leuchtturm von Alexandria;Die Hängenden Gärten von Babylon;1;1;Die Pyramiden von Gizeh sind das einzige der sieben antiken Weltwunder, das bis heute erhalten ist. Diese monumentalen Bauwerke in Ägypten sind eine beeindruckende kulturelle und architektonische Leistung der Antike.;published
34;Welche berühmte Gemälde-Madame ist bekannt für ihren mysteriösen Blick und ihr leicht lächelndes Gesicht?;Die Mona Lisa;Die Dame mit dem Hermelin;Das Mädchen mit dem Perlenohrring;Die Venus von Urbino;1;1;Die Mona Lisa, gemalt von Leonardo da Vinci, ist bekannt für ihr geheimnisvolles Lächeln und ihren Blick. Das Gemälde gilt als eines der berühmtesten Kunstwerke der Welt und ist in der Louvre in Paris ausgestellt.;published
36;Welche Hauptstadt wird als Stadt der Liebe bezeichnet und ist bekannt für den Eiffelturm?;Paris;Madrid;Wien;Rom;1;1;"Paris wird oft als ""Stadt der Liebe"" bezeichnet und ist bekannt für den Eiffelturm. Die romantische Assoziation mit Paris geht auf seine kulturelle Bedeutung, Architektur und Rolle als Symbol der Liebe zurück.";published
92;"Welches Element hat das chemische Symbol ""O""?";Sauerstoff;Eisen;Wasserstoff;Stickstoff;1;1;"Das chemische Symbol ""O"" repräsentiert das Element Sauerstoff in der Periodentabelle. Sauerstoff ist lebensnotwendig für viele Organismen und spielt eine zentrale Rolle in chemischen Reaktionen, insbesondere in der Atmung von Lebewesen.";published
93;"Wer schrieb das Drama ""Romeo und Julia""";William Shakespeare;Charles Dickens;Jane Austen;Leo Tolstoi;1;1;"William Shakespeare ist der Autor des Dramas ""Romeo und Julia"". Das Stück, geschrieben im 16. Jahrhundert, ist eines der bekanntesten Liebesdramen der Weltliteratur und hat zahlreiche Adaptionen in verschiedenen Medien erfahren.";published
94;Was ist die Hauptstadt von Australien?;Canberra ;Sydney;Melbourne;Brisbane;1;1;Canberra ist die Hauptstadt von Australien. Die Stadt wurde gezielt als Hauptstadt ausgewählt und befindet sich im Australian Capital Territory. Neben der politischen Bedeutung bietet Canberra auch kulturelle und natürliche Sehenswürdigkeiten.;published
95;Welches Jahr begann der Erste Weltkrieg?;1914;1920;1939;1945;1;1;Der Erste Weltkrieg begann im Jahr 1914. Das Attentat von Sarajevo im Juni 1914 wird oft als Auslöser für den Krieg angesehen. Der Krieg dauerte bis 1918 und hatte weitreichende Auswirkungen auf die politische Landkarte und die Gesellschaft des 20. Jahrhunderts.;published
